Channel,Time,Program
Rai 1,18:45,L'EreditÃ
Rai 1,20:00,Tg1
Rai 1,20:30,Cinque Minuti
Rai 1,20:35,Affari tuoi
Rai 1,21:30,DOC (Serie Tv)
Rai 1,22:20,"DOC (Serie Tv) St 1  Ep 2  - Dai, riprovaci"
Rai 1,23:15,Porta a porta
Rai 1,23:55,Tg1
Rai 2,18:00,Tg2
Rai 2,18:20,Referendum 2025
Rai 2,18:50,Tg Sport TG Sport Sera
Rai 2,19:00,Blue Bloods St 10  Ep 2  - La lista nera
Rai 2,19:45,Blue Bloods St 10  Ep 3  - Fratelli e sorelle
Rai 2,20:30,Tg2
Rai 2,21:00,TG2 Post
Rai 2,21:20,Belve
Rai 3,19:00,Tg3
Rai 3,19:30,Tg Regione
Rai 3,19:51,Tg Regione
Rai 3,20:00,Blob
Rai 3,20:20,Faccende complicate
Rai 3,20:40,Il cavallo e la torre
Rai 3,20:50,Un posto al sole
Rai 3,21:20,Che ci faccio qui
Rai 4,18:20,Hawaii Five-0
Rai 4,19:05,Senza traccia St 4  Ep 9
Rai 4,19:49,Senza traccia St 4  Ep 10
Rai 4,20:34,Criminal Minds St 13  Ep 14
Rai 4,21:20,The Equalizer 2 - Senza perdono
Rai 4,23:23,Wonderland
Rai 4,23:57,Intemperie
Rai 4,01:44,Appuntamento al cinema
Canale 5,18:45,CADUTA LIBERA
Canale 5,19:42,TG5 - ANTICIPAZIONE
Canale 5,19:43,CADUTA LIBERA
Canale 5,19:57,TG5 PRIMA PAGINA
Canale 5,20:00,TG5
Canale 5,20:38,METEO.IT
Canale 5,20:40,STRISCIA LA NOTIZIA - LA VOCE DELLA COMPLOTTENZA
Canale 5,21:21,RIASSUNTO - MARIA CORLEONE 2
Italia 1,18:13,L'ISOLA DEI FAMOSI
Italia 1,18:22,STUDIO APERTO LIVE
Italia 1,18:25,METEO.IT
Italia 1,18:30,STUDIO APERTO
Italia 1,18:57,STUDIO APERTO MAG
Italia 1,19:28,C.S.I. MIAMI - IL GIURAMENTO
Italia 1,20:28,NCIS - UNITA' ANTICRIMINE - SASSI DALLA LUNA
Italia 1,21:16,LE IENE
Canale 20 Mediaset,18:18,THE FLASH - LA PROSSIMA VOLTA IL FUOCO
Canale 20 Mediaset,19:14,PERSON OF INTEREST - CALCOLO DELLA MORTALITA'
Canale 20 Mediaset,20:12,THE BIG BANG THEORY - IL FATTORE MANDARINO
Canale 20 Mediaset,20:37,THE BIG BANG THEORY - IL PARADIGMA DEL PESCE GUASTO
Canale 20 Mediaset,21:12,SPIDER-MAN 2 - 1 PARTE
Canale 20 Mediaset,22:32,TGCOM24 BREAKING NEWS
Canale 20 Mediaset,22:41,METEO.IT
Canale 20 Mediaset,22:42,SPIDER-MAN 2 - 2 PARTE
Rete 4,18:58,TG4 - TELEGIORNALE
Rete 4,19:35,METEO.IT
Rete 4,19:39,LA PROMESSA III - 427 - PARTE 1 - 1aTV
Rete 4,20:30,4 DI SERA
Rete 4,21:25,E' SEMPRE CARTABIANCA
Rete 4,00:50,DALLA PARTE DEGLI ANIMALI
Rete 4,02:27,TG4 - ULTIMA ORA NOTTE
Rete 4,02:47,MORTACCI
Warner TV,18:45,Supernatural - Stagione 11 Episodio 22
Warner TV,19:40,Supernatural - Stagione 11 Episodio 23
Warner TV,20:35,Supernatural - Stagione 12 Episodio 1 - Resta calmo e va avanti
Warner TV,21:30,E.R. - Medici in prima linea - Stagione 1 Episodio 44
Warner TV,00:45,E.R. - Medici in prima linea - Stagione 1 Episodio 45
Warner TV,04:00,Supernatural - Stagione 11 Episodio 15
Warner TV,04:50,Supernatural - Stagione 11 Episodio 16
Warner TV,05:35,America: vero o falso? - Stagione 3 Episodio 7
Rai Movie,19:25,Resurrected
Rai Movie,21:10,Boris Becker nascita di un campione
Rai Movie,23:00,Machine Gun Preacher
Rai Movie,01:20,Appuntamento al cinema
Rai Movie,01:25,Raid - Una poliziotta fuori di testa
Rai Movie,03:05,Occhi di cristallo
Rai Movie,05:00,Cleopatra
Cine 34,18:54,A CENA CON - BOMBER - 1 PARTE
Cine 34,19:46,TGCOM24 BREAKING NEWS
Cine 34,19:56,METEO.IT
Cine 34,19:57,A CENA CON - BOMBER - 2 PARTE
Cine 34,21:00,MEDITERRANEO - 1 PARTE
Cine 34,22:05,TGCOM24 BREAKING NEWS
Cine 34,22:13,METEO.IT
Cine 34,22:15,MEDITERRANEO - 2 PARTE
TWENTYSEVEN,18:24,LA CASA NELLA PRATERIA - I RICORDI DEL NONNO
TWENTYSEVEN,19:28,MONK - IL SIGNOR MONK E I NUDISTI
TWENTYSEVEN,20:24,MONK - IL SIGNOR MONK E LA FIDANZATA DEL CAPITANO
TWENTYSEVEN,21:18,ASSASSINIO SUL NILO - 1 PARTE
TWENTYSEVEN,22:27,TGCOM24 BREAKING NEWS - 20/05/2025
TWENTYSEVEN,22:35,METEO.IT - 20/05/2025
TWENTYSEVEN,22:36,ASSASSINIO SUL NILO - 2 PARTE
TWENTYSEVEN,00:02,BUGIARDO BUGIARDO - 1 PARTE
Iris,19:11,KOJAK - CACCIA AL TRADITORE
Iris,20:12,WALKER TEXAS RANGER - TERRITORIO DI CONQUISTA
Iris,21:15,GLI SPIETATI
Iris,23:56,DUE STELLE NELLA POLVERE
Iris,02:05,FENOMENI PARANORMALI INCONTROLLABILI
Iris,03:55,CIAK NEWS
Iris,03:57,FILO DA TORCERE
Iris,05:47,FINCHE' C'E' DITTA C'E' SPERANZA - 4
TV8,19:00,Alessandro Borghese 4 Ristoranti - Stagione 5 Episodio 2 - Delta del Po
TV8,20:15,Foodish Anteprima - Prima TV
TV8,20:20,Foodish - Stagione 1 Episodio 24 - Prima TV
TV8,21:30,Casino Royale
TV8,00:30,L'uomo sul treno
TV8,02:30,Blacklight
TV8,04:20,Coppie che uccidono - Stagione 14 Episodio 1 - Patrick Frazee e Krystal Kenney
TV8,05:10,Lady Killer - Stagione 22 Episodio 23 - Denise Davidson
Italia 2,18:10,ONE PIECE - RUBBER VS JINBEI
Italia 2,18:39,ONE PIECE - IL CAMBIAMENTO
Italia 2,19:09,BOB HEARTS ABISHOLA - UN CUORE FRAGILE
Italia 2,19:34,BOB HEARTS ABISHOLA - I NIGERIANI NON FANNO COSE INUTILI
Italia 2,20:00,DUE UOMINI E 1/2 - NON ESISTE IL NATALE PERFETTO
Italia 2,20:26,DUE UOMINI E 1/2 - RABBIA DA STEROIDI
Italia 2,20:58,DUE UOMINI E 1/2 - COGLI LA ROSA!
Italia 2,21:25,THE BIG BANG THEORY - L'INSUFFICIENZA DA HOFSTADTER
La 5,20:10,UOMINI E DONNE
La 5,21:37,SAM & KATE - 1 PARTE - 1aTV
La 5,22:43,TGCOM24 BREAKING NEWS
La 5,22:50,METEO.IT
La 5,22:51,SAM & KATE - 2 PARTE - 1aTV
La 5,23:50,LA SCELTA - THE CHOICE - 1 PARTE
La 5,01:02,TGCOM24 BREAKING NEWS
La 5,01:06,METEO.IT
NOVE,19:20,Cash or Trash - Chi offre di piÃ¹? - Stagione 4 Episodio 7
NOVE,20:30,Don't Forget the Lyrics - Stai sul pezzo - 1^TV - Stagione 7 Episodio 50
NOVE,21:30,Angeli e demoni - Film/Thriller
NOVE,00:15,Like A Star - Stagione 1 Episodio 1
NOVE,03:10,Nudi e crudi XL - Stagione 4 Episodio 2 - Sopravvivere agli squali
NOVE,04:05,Nudi e crudi XL - Stagione 4 Episodio 3 - Luci in mare
NOVE,05:00,Alta infedeltÃ  - Stagione 4 Episodio 31 - Pazzi di lei
NOVE,05:30,Alta infedeltÃ  - Stagione 4 Episodio 32 - Il nuovo marito di mamma
Cielo,19:00,Cucine da incubo - Stagione 3 Episodio 3 - La Fontanina
Cielo,20:00,Affari al buio - Stagione 1 Episodio 12 - Asta reale
Cielo,20:30,Affari di famiglia - Stagione 20 Episodio 17 - Charlie Brown originale?
Cielo,21:20,Il Trono di Spade - Stagione 3 Episodio 7 - L'orso e la fanciulla bionda
Cielo,22:25,Il Trono di Spade - Stagione 3 Episodio 8 - I secondi figli
Cielo,23:30,Triangle of Sadness
Cielo,02:10,Easy Love
Cielo,04:00,Vulva 3.0: questione di labbra
La7,18:30,Famiglie dâItalia
La7,20:00,TG LA7
La7,20:35,Otto e Mezzo
La7,21:15,DiMartedÃ¬
La7,01:00,TG LA7 Notte
La7,01:10,Otto e Mezzo (r)
La7,01:55,Camera con Vista
La7,02:15,La Torre di Babele doc
La7 D,18:30,TG LA7d
La7 D,18:35,Boston legal
La7 D,20:15,How I met your mother
La7 D,21:15,"Josephine, Ange Gardien"
La7 D,23:05,"Josephine, Ange Gardien"
La7 D,00:55,This is us
La7 D,03:20,LA7 - I Segreti della Corona
La7 D,04:20,I menÃ¹ di Benedetta
Food Network,18:00,In cucina con Luca Pappagallo - Estate - Stagione 1 Episodio 1 - Il mare d'estate
Food Network,18:50,In cucina con Luca Pappagallo - Estate - Stagione 1 Episodio 11 - Una cena a Napoli
Food Network,19:35,In cucina con Luca Pappagallo - Estate - Stagione 1 Episodio 7 - Insalate
Food Network,20:15,In cucina con Luca Pappagallo - Estate - Stagione 1 Episodio 9 - Melanzane che bontÃ
Food Network,20:50,In cucina con Luca Pappagallo - Estate - Stagione 1 Episodio 12 - Estate spagnola
Food Network,21:25,In cucina con Luca Pappagallo - Estate - Stagione 2 Episodio 1 - Ricette a base di pesce
Food Network,22:00,Scarpetta d'Italia - 1^TV - Stagione 4 Episodio 6 - Perugia
Food Network,23:00,Scarpetta d'Italia - Stagione 4 Episodio 5 - Napoli
TOP CRIME,18:19,MAJOR CRIMES - LA CITTA' SANTUARIO - V PARTE
TOP CRIME,19:17,THE CLOSER - BUONA FEDE
TOP CRIME,20:18,THE CLOSER - NEL BAGAGLIAIO
TOP CRIME,21:17,CHICAGO P.D. - LINEA DI GALLEGGIAMENTO
TOP CRIME,22:08,CHICAGO P.D. - INVENTARIO
TOP CRIME,23:01,CHICAGO P.D. - ANCORA DI PIU'
TOP CRIME,23:59,C.S.I. MIAMI - A COLPI D'ASCIA
TOP CRIME,00:53,C.S.I. MIAMI - DISONORE
GIALLO TV,19:10,L'ispettore Barnaby - Stagione 8 Episodio 8 - Midsomer Rhapsody
GIALLO TV,21:10,Le indagini di Roy Grace - 1^TV - Stagione 4 Episodio 3 - Tu sei morta
GIALLO TV,23:10,Vera - Stagione 14 Episodio 1
GIALLO TV,01:10,I misteri di Murdoch - Stagione 8 Episodio 17 - Il giorno delle elezioni
GIALLO TV,02:10,I misteri di Murdoch - Stagione 8 Episodio 18 - Il furbo detective
GIALLO TV,03:10,Torbidi delitti - Stagione 3 Episodio 3 - Un salto nel buio
GIALLO TV,04:10,"Torbidi delitti - Stagione 3 Episodio 4 - VenerdÃ¬ Santo, venerdÃ¬ di morte"
GIALLO TV,05:05,Torbidi delitti - Stagione 4 Episodio 2 - Il canale
Rai Premium,18:25,Don Matteo St 10  Ep 18  - Le due madri
Rai Premium,19:25,Il restauratore St 2  Ep 11  - Il vampiro
Rai Premium,20:25,Il restauratore St 2  Ep 12  - Alle corde
Rai Premium,21:20,Il commissario Dupin St 1  Ep 12  - Gloria bretone
Rai Premium,22:55,Master Crimes St 1  Ep 3  - Sarai un uomo
Rai Premium,23:50,Master Crimes St 1  Ep 4  - Sotto pressione
Rai Premium,00:45,Storie italiane
Rai Premium,02:50,Un ciclone in convento St 10  Ep 2  - Bambini prodigio
Mediaset Extra,21:24,"L'ISOLA DEI FAMOSI - EXTENDED EDITION - L'ISOLA DEI FAMOSI - EXTENDED EDITION, 9"
Mediaset Extra,01:09,TGCOM24 BREAKING NEWS - 20/05/2025
Mediaset Extra,01:16,MOVIE TRAILER
Mediaset Extra,01:18,"L'ISOLA DEI FAMOSI - EXTENDED EDITION - L'ISOLA DEI FAMOSI - EXTENDED EDITION, 9"
Mediaset Extra,04:23,"L'ISOLA DEI FAMOSI - EXTENDED EDITION - L'ISOLA DEI FAMOSI - EXTENDED EDITION, 8"
HGTV - HOME GARDEN TV,18:10,"Casa su misura - Stagione 2 Episodio 10 - Attratti dalla vita di campagna, coppia cerca casa in Texas"
HGTV - HOME GARDEN TV,19:05,Casa su misura - Stagione 2 Episodio 11 - Coppia con bimbo in arrivo cerca casa moderna
HGTV - HOME GARDEN TV,20:00,"Casa su misura - Stagione 2 Episodio 12 - Tre generazioni, una casa su misura"
HGTV - HOME GARDEN TV,21:00,Che affare! Con Tarek e Heather - Stagione 1 Episodio 5 - Orrori
HGTV - HOME GARDEN TV,22:00,Che affare! Con Tarek e Heather - 1^TV - Stagione 1 Episodio 7 - Grandi modifiche
HGTV - HOME GARDEN TV,23:00,Che affare! Con Tarek e Heather - Stagione 1 Episodio 6 - Stile familiare
HGTV - HOME GARDEN TV,00:00,Chi cerca trova - Stagione 12 Episodio 8 - Olanda
HGTV - HOME GARDEN TV,00:55,Chi cerca trova - Stagione 12 Episodio 9
TV2000,18:04,Rosario In Diretta Da Lourdes
TV2000,18:32,Tg2000
TV2000,19:08,Santa Messa
TV2000,19:40,In cammino
TV2000,20:12,Santo Rosario da Cascia
TV2000,20:51,Tg2000
TV2000,21:16,Il gesuita
TV2000,23:05,Sulle ali delle aquile
Donna TV,18:00,Pillole Di Sapori
Donna TV,18:30,Tormento D'Amore
Donna TV,19:00,Tormento D'Amore
Donna TV,19:30,Emozioni dal Mondo
Donna TV,20:00,Top Model
Donna TV,21:00,Cold Squad
Donna TV,22:00,Italia Avventura
Donna TV,22:30,Luisana Mia
ALMA TV,19:00,L'Argonauta
ALMA TV,19:30,Atlante
ALMA TV,20:00,L'Italia In Tour
ALMA TV,20:30,In Gran Forma Con Rosanna Lambertucci
ALMA TV,21:00,Cucino Per Te
ALMA TV,21:30,Mangiare Con Gusto
ALMA TV,22:00,Frittanza Altro Fritto Altra Corsa
ALMA TV,22:30,I Sapori Del Sole
TRAVEL TV,18:00,Andata e Ritorno
TRAVEL TV,18:30,Tesori e Meraviglie
TRAVEL TV,19:00,Meraviglie della Natura
TRAVEL TV,20:00,Uno Sguardo Dal Cielo
TRAVEL TV,21:00,Viaggio in Italia
TRAVEL TV,21:30,Cities Of The World
TRAVEL TV,22:00,Weekend
TRAVEL TV,22:30,K Around The World
Italia 7 Gold,18:00,MIMMO PESCE SHOW
Italia 7 Gold,19:00,SUPERMERCATO
Italia 7 Gold,19:30,TG7
Italia 7 Gold,20:00,CASALOTTO
Italia 7 Gold,20:30,DIRETTA STADIO
Italia 7 Gold,23:30,CALCISSIMO
Italia 7 Gold,01:00,PROGRAMMAZIONE NOTTURNA
TeleReporter,19:00,Mezzâora Per Voi â Yoga
TeleReporter,19:24,Mezzâora Per Voi â Pilates
TeleReporter,19:49,Mezzâora Per Voi â Tonificazione
TeleReporter,20:15,Passatempo
TeleReporter,20:30,Zerovero
TeleReporter,21:15,Il Rompiscatole â Home Ed.
TeleReporter,21:30,Lo Specchio
TeleReporter,22:00,Storie
TeleCampione Svizzera Italiana,18:00,Mezzâora Per Voi â Pilates
TeleCampione Svizzera Italiana,18:30,Mezzâora Per Voi â Tonificazione
TeleCampione Svizzera Italiana,19:00,La Vetrina DellâAuto
TeleCampione Svizzera Italiana,20:00,Zerovero
TeleCampione Svizzera Italiana,20:45,Il Rompiscatole â Home Ed.
TeleCampione Svizzera Italiana,21:00,Il Gioco Del Mondo
TeleCampione Svizzera Italiana,21:30,Next To The Truckers
TeleCampione Svizzera Italiana,22:00,I Sognatori
La1,18:00,Telegiornale flash Le notizie della giornata
La1,18:10,Zerovero Conduce Daiana Crivelli
La1,19:00,Il Quotidiano AttualitÃ  della Svizzera italiana
La1,19:40,Doppia scelta Conduce Carla Norghauer
La1,19:55,Meteo regionale I colori del tempo
La1,20:00,Telegiornale Le notizie di prima serata
La1,20:35,Meteo Tutti i colori del tempo
La1,20:40,FalÃ²
La2,18:40,Il prima e dopo sport Immagini sportive
La2,19:10,"Hudson & Rex - Amore criminale Stagione 4, episodio 7"
La2,20:00,Telesguard
La2,20:15,Hockey su ghiaccio: Mondiali 2025 - Svezia - Canada Da Stoccolma (SWE)
La2,22:45,Play Suisse - Videogiocatori nati
La2,23:45,"Blue Bloods - Nessuna intromissione Stagione 12, episodio 19"
La2,00:30,"Blue Bloods - I tre Reagan Stagione 12, episodio 20"
La2,01:10,Telesguard
Rai Sport +HD,18:00,Biliardo
Rai Sport +HD,20:30,Orienteering
Rai Sport +HD,21:00,Pallanuoto
Rai Sport +HD,22:00,Giro d'Italia Ciclismo. TGiro
Rai Sport +HD,23:30,Tg Sport Speciale TG Sport
Rai Sport +HD,23:45,Tg Sport TG Sport Notte
Rai Sport +HD,00:00,Giro d'Italia
