Channel,Time,Program
Rai Sport +HD,01:00,Biliardo
SuperTennis,19:15,Supertennis TG
SuperTennis,19:30,WTA 250 Rabat (differita)
SuperTennis,21:00,WTA 500 Strasburgo (replica)
SuperTennis,22:45,Tennis Parade
SuperTennis,23:00,WTA 250 Rabat (replica)
SuperTennis,00:45,Cronache Italiane
SuperTennis,01:00,WTA 500 Strasburgo (replica)
SuperTennis,03:00,WTA 250 Rabat (replica)
Euro Sport,18:45,World Series Trail Running - Stagione 2025 - Il Golfo dell'Isola
Euro Sport,20:00,Tennis - The Kings Palace
Euro Sport,21:00,Motori - Speedway Grand Prix - Stagione 2025 - Varsavia
Euro Sport,22:00,Motori - Formula E FIA Championship - Stagione 2024 - Tokyo
Euro Sport,23:00,"Ciclismo - 108esimo Giro d'Italia - Stagione 2025 - 10a tappa. Cronometro - Lucca - Pisa (28,6 km)"
Euro Sport,00:00,Coppa del Mondo - Stagione 2025 - Keqiao. Finale Boulder M
Euro Sport,01:30,"Ciclismo - 108esimo Giro d'Italia - Stagione 2025 - 10a tappa. Cronometro - Lucca - Pisa (28,6 km)"
SportItalia,19:00,Calcio Today (diretta)
SportItalia,21:00,Calcio Tonight (diretta)
SportItalia,23:00,Sportitaliamercato (diretta)
SportItalia,00:00,Si Live 24 (diretta)
SportItalia,00:30,Sportitaliamercato
SportItalia,01:30,Campionato Argentino River Plate-Platense (diretta)
SportItalia,03:30,Si Live 24
SportItalia,04:00,Si Live 24
Rai Gulp,18:05,Idefix e gli Irriducibili
Rai Gulp,18:20,Klincus St 1  Ep 17  - Ricognizione
Rai Gulp,18:45,Meteo Spazio
Rai Gulp,18:55,La banda della natura St 1  Ep 24  - La guerra dei calabroni
Rai Gulp,19:10,Anatane e i ragazzi di Okura St 1  Ep 19  - Una vecchia conoscenza
Rai Gulp,19:35,Vita da giungla alla riscossa! St 2  Ep 45  - Risate nella giungla
Rai Gulp,19:45,Vita da giungla alla riscossa!
Rai Gulp,20:00,Kung Fu Panda - Le zampe del destino
Rai YoYo,18:05,Hello Yoyo St 3  Ep 17  - What a journey!
Rai YoYo,18:30,Spidey e i suoi fantastici amici
Rai YoYo,18:55,Peppa Pig St 9  Ep 14  - L'hula hoop
Rai YoYo,19:00,Peppa Pig St 9  Ep 15  - Al parco
Rai YoYo,19:05,Peppa Pig St 9  Ep 16  - La barca di salvataggio
Rai YoYo,19:10,Peppa Pig St 9  Ep 17  - Riffa di beneficenza
Rai YoYo,19:15,La famiglia Volpitassi St 2  Ep 49  - La Principessa Berry
Rai YoYo,19:25,La famiglia Volpitassi St 2  Ep 50  - La mappa del tesoro
Boing,18:30,Teen Titans Go!
Boing,18:50,Teen Titans Go!
Boing,19:30,Teen Titans Go!
Boing,19:50,Clarence
Boing,21:35,Doraemon
Boing,22:00,Doraemon
Boing,22:30,Captain Tsubasa
Boing,22:55,Dragon Ball Super
Cartoonito,18:05,Blaze e  le megamacchine
Cartoonito,18:35,Blaze e  le megamacchine
Cartoonito,19:00,Batwheels
Cartoonito,19:30,Batwheels - new eps
Cartoonito,19:50,Talking Tom Heros - Super Amici
Cartoonito,20:10,La casa delle Bambole di Gabby - new eps
Cartoonito,20:40,La casa delle Bambole di Gabby - new eps
Cartoonito,21:00,Chi ha sfidato Ninna e Matti?
Frisbee,18:05,Curioso come George - Stagione 11 Episodio 1
Frisbee,18:30,Curioso come George - Stagione 11 Episodio 2
Frisbee,18:55,Super Wings - Eroi elettrici - Stagione 8 Episodio 3
Frisbee,19:05,Super Wings - Eroi elettrici - Stagione 8 Episodio 4
Frisbee,19:25,Curioso come George - Stagione 11 Episodio 3
Frisbee,19:50,Curioso come George - Stagione 11 Episodio 4
Frisbee,20:15,Curioso come George - Stagione 11 Episodio 5
Frisbee,20:45,Curioso come George - Stagione 11 Episodio 6
K2,18:00,Il barbiere pasticciere - Stagione 4 Episodio 6
K2,18:15,Alvinnn!!! And the Chipmunks - Stagione 1 Episodio 23
K2,18:25,Alvinnn!!! And the Chipmunks - Stagione 1 Episodio 24
K2,18:40,Alvinnn!!! And the Chipmunks - Stagione 1 Episodio 25
K2,18:55,Alvinnn!!! And the Chipmunks - Stagione 1 Episodio 26
K2,19:05,Alvinnn!!! And the Chipmunks - Stagione 1 Episodio 27
K2,19:20,Il barbiere pasticciere - Stagione 2 Episodio 10
K2,19:45,Il barbiere pasticciere - Stagione 2 Episodio 13
DeaKids,18:00,"Isadora Moon - Stagione 1 Episodio 23 - Vola Isadora, vola!"
DeaKids,18:10,Isadora Moon - Stagione 1 Episodio 24 - L'erba di drago
DeaKids,18:25,Il Barbiere Pasticciere - Stagione 1 Episodio 37 - Pan Barbiere e Baguette. 1a parte
DeaKids,18:35,Il Barbiere Pasticciere - Stagione 1 Episodio 38 - Pan Barbiere e Baguette. 2a parte
DeaKids,18:45,Il Barbiere Pasticciere - Stagione 1 Episodio 39 - Pan Barbiere e Baguette. 3a parte
DeaKids,18:55,Il Barbiere Pasticciere - Stagione 1 Episodio 2 - Ciambellina capricciosa
DeaKids,19:05,Il Barbiere Pasticciere - Stagione 1 Episodio 3 - Un'acconciatura da urlo
DeaKids,19:15,Il Barbiere Pasticciere - Stagione 1 Episodio 4 - Cercasi assistente
Super,18:15,Lo Show di Patrick Stella
Super,18:40,Lo Show di Patrick Stella
Super,19:05,Lo Show di Patrick Stella
Super,19:30,A casa dei Loud
Super,20:00,A casa dei Loud
Super,20:25,A casa dei Loud
Super,20:50,Henry Danger
Super,21:15,Henry Danger
Rai 5,18:44,Rai5 Classic Ep 55
Rai 5,18:56,TGR Bell - Italia
Rai 5,19:26,RaiNews
Rai 5,19:29,Art Night - Puntata 4
Rai 5,19:33,Sui binari dell'Antico Egitto St 1  Ep 3  - Luxor
Rai 5,20:21,Overland
Rai 5,21:14,Figlia mia
Rai 5,22:49,Il potere delle idee St 2025  Ep 2  - Camilla Lackberg
Rai Storia,18:25,Ritorno al presente - Il ponte della Musica
Rai Storia,18:50,RaiNews Rai News Giorno
Rai Storia,18:55,La Guerra al tavolo della pace - La conferenza di Teheran
Rai Storia,20:10,Il giorno e la storia - 20 maggio 2025
Rai Storia,20:30,Passato e Presente
Rai Storia,21:10,Inferno nei mari - L'ira di Hitler
Rai Storia,22:00,14-18 Grande Guerra 100 anni dopo
Rai Storia,22:50,"Cortina nella Grande Guerra Ep 1  - Montagne amate, montagne armate"
Rai Scuola,18:00,Oggi Ã¨
Rai Scuola,18:30,Wild Italy
Rai Scuola,19:15,Maremma
Rai Scuola,20:00,La scienza segreta dei liquami
Rai Scuola,21:00,Racconti di Scienza
Rai Scuola,22:00,Doc Divulgativi
Rai Scuola,22:45,TGR Leonardo
Rai Scuola,23:00,Le grandi sfide alla natura
Motor Trend Italia,18:45,Reperti d'assalto - Stagione 5 Episodio 2 - Completamente scomposto
Motor Trend Italia,20:30,Reperti d'assalto - Stagione 5 Episodio 3
Motor Trend Italia,22:15,Ant Anstead: missione recupero - 1^TV - Stagione 1 Episodio 4 - Lotus Elan
Motor Trend Italia,23:10,Ant Anstead: missione recupero - Stagione 1 Episodio 3 - Jaguar XJS
Motor Trend Italia,00:05,Affari a quattro ruote - Stagione 14 Episodio 5 - Plymouth Barracuda
Motor Trend Italia,01:00,Affari a quattro ruote - Stagione 14 Episodio 6 - Ford Ranchero
Motor Trend Italia,01:50,I maghi del garage - Stagione 5 Episodio 1 - Fiat Dino
Motor Trend Italia,02:40,I maghi del garage - Stagione 5 Episodio 2
DMAX,18:30,Vado a vivere nel bosco - Stagione 2 Episodio 9 - Wisconsin
DMAX,19:30,Vado a vivere nel bosco - Stagione 5 Episodio 3 - S.O.S.
DMAX,21:25,Questo strano mondo con Marco Berry - Stagione 2 Episodio 5 - Don't Look Up
DMAX,22:20,Questo strano mondo con Marco Berry - Stagione 2 Episodio 6 - Gelatina
DMAX,23:15,WWE Smackdown - 1^TV
DMAX,01:15,KO! Botte da strada - Stagione 1 Episodio 1
DMAX,02:05,Quei cattivi vicini - Stagione 2 Episodio 9
DMAX,03:10,Colpo di fulmini - Stagione 8 Episodio 2
Focus TV,18:31,STRANGE EVIDENCE - LA MALEDIZIONE DEL TESORO MAYA
Focus TV,19:32,STRANGE EVIDENCE - IL BIGFOOT
Focus TV,20:28,"FUORI LE PROVE! - INDAGINI AI CONFINI DELLA REALTA' - FUORI LE PROVE! - INDAGINI AI CONFINI DELLA REALTA' II, 3"
Focus TV,20:59,FUORI LE PROVE! - INDAGINI AI CONFINI DELLA REALTA'
Focus TV,21:25,PRIMO INDIZIATO: LA TERRA! - GLI ULTIMI MAMMUT
Focus TV,22:13,PRIMO INDIZIATO: LA TERRA! - L'ESODO - MIRACOLO O SCIENZA?
Focus TV,23:09,INGEGNERIA DEGLI EPIC FAIL
Focus TV,00:15,"INGEGNERIA DEGLI EPIC FAIL - INGEGNERIA DEGLI EPIC FAIL II, 10"
RealTime,19:25,Casa a prima vista - Stagione 6 Episodio 10
RealTime,20:35,Casa a prima vista - Stagione 6 Episodio 12 - Prima TV
RealTime,21:30,Primo appuntamento crociera - Stagione 1 Episodio 5
RealTime,23:05,Dr. Pimple Popper: la dottoressa schiacciabrufoli - Stagione 3 Episodio 19 - Naso gigantesco
RealTime,00:00,Dr. Pimple Popper: la dottoressa schiacciabrufoli - Stagione 3 Episodio 20 - Santa Claus
RealTime,00:55,Dr. Pimple Popper: la dottoressa schiacciabrufoli - Stagione 2 Episodio 1 - Protuberanze
RealTime,01:45,Dr. Pimple Popper: la dottoressa schiacciabrufoli - Stagione 2 Episodio 2 - Bolle misteriose
RealTime,02:40,Dr. Pimple Popper: la dottoressa schiacciabrufoli - Stagione 2 Episodio 3 - La protuberanza
Discovery Channel,18:10,Deadliest Catch: Norvegia - Stagione 1 Episodio 4 - Sangue norvegese
Discovery Channel,19:05,Metal Detective - Stagione 4 Episodio 2 - Claustrofobia
Discovery Channel,20:00,Metal Detective - Stagione 4 Episodio 3 - Deja vu
Discovery Channel,21:00,Chi cerca trova - Stagione 18 Episodio 8 - Sopravvissuti
Discovery Channel,21:55,Chi cerca trova - Stagione 19 Episodio 4 - Sportello unico - Prima TV
Discovery Channel,22:45,Chi cerca trova - Stagione 19 Episodio 3 - Collezioni
Discovery Channel,23:40,Ce l'avevo quasi fatta - Stagione 1 Episodio 3 - Omicidi sbagliati
Discovery Channel,00:35,Ce l'avevo quasi fatta - Stagione 1 Episodio 4 - Principale sospettato
Sky Uno,18:55,Gialappa - Show - Stagione 5 Episodio 7
Sky Uno,21:15,Cucine da incubo - Stagione 11 Episodio 7
Sky Uno,22:30,Cucine da incubo - Stagione 11 Episodio 6
Sky Uno,23:40,Cucine da incubo - Stagione 11 Episodio 7
Sky Uno,00:50,Bruno Barbieri 4 Hotel - Stagione 3 Episodio 2 - Marche
Sky Uno,02:00,Quattro matrimoni - Stagione 4 Episodio 7
Sky Uno,02:50,Quattro matrimoni - Stagione 4 Episodio 8
Sky Uno,03:40,Home Restaurant - Stagione 2 Episodio 16
Sky Uno,18:10,Quattro matrimoni Ep. 9
Sky Uno,19:10,Italia's Got Talent Audizioni
Sky Uno,20:15,Cuochi d'Italia Ep. 4
Sky Uno,22:25,Pechino Express - La rotta dei sultani Ep. 6
Sky Uno,00:40,Bruno Barbieri - 4 Hotel Firenze
Sky Uno,01:50,Bruno Barbieri - 4 Hotel Langhe
Sky Uno,03:00,Quattro matrimoni Ep. 8
Sky Cinema 1,19:30,Thelma
Sky Cinema 1,21:15,The Equalizer 3 Senza tregua
Sky Cinema 1,23:05,A Mistake
Sky Cinema 1,00:50,Cattivissimo me 4
Sky Cinema 1,02:25,Una famiglia mostruosa
Sky Cinema 1,04:00,Finche' notte non ci separi
Sky Cinema 1,05:25,Appuntamento con l'amore
Sky Cinema 1,19:20,Old
Sky Cinema 1,23:15,Notre-Dame in fiamme
Sky Cinema 1,01:15,Zona 414
Sky Cinema 1,03:00,100X100Cinema
Sky Cinema 1,03:20,2012
SKY Cinema Family,19:15,Dragon Trainer 2
SKY Cinema Family,21:00,Dolcissime
SKY Cinema Family,22:30,Dolittle
SKY Cinema Family,00:10,Max Steel
SKY Cinema Family,01:40,Questo o quello Robert De Niro &... Episodio 243 - Questo O Quello - Robert De Niro & Al Pacino
SKY Cinema Family,01:50,Angry Birds Il film
SKY Cinema Family,03:25,Latte e la pietra magica
SKY Cinema Family,04:45,Cicogne in missione
SKY Cinema Family,19:25,Peter Rabbit 2 - Un birbante in fuga
SKY Cinema Family,22:25,La musica nel cuore - August Rush
SKY Cinema Family,00:20,Il richiamo della foresta
SKY Cinema Family,03:30,Paddington 2
SKY Cinema Family,05:15,Elfkins - Missione Best Bakery
Sky Cinema Romance,21:00,Una lunga domenica di passioni
Sky Cinema Romance,23:15,"Little Italy Pizza, amore e fantasia"
Sky Cinema Romance,01:00,Diamanti Intervista a Ozpetek Speciale
Sky Cinema Romance,01:20,Ritratto della giovane in fiamme
Sky Cinema Romance,03:25,Which Brings Me to You
Sky Cinema Romance,05:05,Mamma Mia!
Sky Cinema Romance,19:20,Resta con me
Sky Cinema Romance,23:50,Questione di tempo
Sky Cinema Romance,02:00,Scusa ma ti voglio sposare
Sky Cinema Romance,03:50,To Rome with Love
Sky Cinema Romance,05:45,Il velo dipinto
Sky Cinema Collection,19:05,Mission: Impossible 2
Sky Cinema Collection,21:15,Oblivion
Sky Cinema Collection,23:25,Barry Seal Una storia americana
Sky Cinema Collection,01:15,Questo o quello De Niro & Al Pacino Episodio 243 - De Niro & Al Pacino
Sky Cinema Collection,01:30,Eyes Wide Shut
Sky Cinema Collection,04:05,Jack Reacher La prova decisiva
Sky Cinema Collection,18:05,Police
Sky Cinema Collection,19:50,La prima vacanza non si scorda mai
Sky Cinema Collection,21:45,Notre-Dame in fiamme
Sky Cinema Collection,23:45,Un sapore di ruggine e ossa
Sky Cinema Collection,01:50,Profumo - Storia di un assassino
Sky Cinema Collection,04:20,Qualcosa di troppo
Sky Cinema Action,19:10,300 L'alba di un impero
Sky Cinema Action,21:00,Wanted Scegli il tuo destino
Sky Cinema Action,22:50,Transformers 4 L'era dell'estinzione
Sky Cinema Action,01:40,Star Trek II L'ira di Khan
Sky Cinema Action,03:30,Men in Black II
Sky Cinema Action,05:00,Three Kings
Sky Cinema Action,18:25,Transformers - La vendetta del caduto
Sky Cinema Action,23:50,La guerra dei mondi
Sky Cinema Action,01:50,Robin Hood principe dei ladri
Sky Cinema Action,04:15,Squadra 49
SKY TG24,18:00,TG24 mezz'ora - Sport - Meteo (live)
SKY TG24,18:30,Sky TG24 Economia (live)
SKY TG24,19:00,Il TG delle Diciannove - Sport - Meteo (live)
SKY TG24,20:00,TG24 mezz'ora - Sport - Meteo (live)
SKY TG24,20:30,TG24 mezz'ora - Sport - Meteo (live)
SKY TG24,21:00,Sky TG24 in 10 minuti (live)
SKY TG24,21:10,Documentario
SKY TG24,22:00,Documentario
SKY TG24,19:30,TG24 MONDO
SKY TG24,20:20,TRIBU'
SKY TG24,21:30,TG24 MEZZ'ORA
Fox,18:05,I Griffin Giochi di ruolo
Fox,18:30,I Simpson La pesca di Ned
Fox,18:55,I Simpson Homerland
Fox,19:20,I Simpson La paura fa novanta XXIV
Fox,19:45,I Simpson Homerazzi
Fox,20:10,I Simpson Marge giocatrice
Fox,20:35,I Simpson Un out-out per Bart
Fox,21:00,Modern Family I nuovi arrivati
